,PM2.5,PM10,NO2,O3,CO,SO2,BC,NO,NOX,Overall_AQI_Level,Overall_AQI_Category
2019-09-01 00:00:00+05:30,45.833333333333336,44.62173913043478,24.88888888888889,0.004,609.6190476190476,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-02 00:00:00+05:30,46.0,43.243478260869566,25.266666666666666,0.006,571.5428571428572,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-03 00:00:00+05:30,34.58888888888889,41.86521739130435,25.64444444444445,0.008,533.4666666666667,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-04 00:00:00+05:30,23.177777777777777,40.48695652173913,26.022222222222226,0.01,495.3904761904762,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-05 00:00:00+05:30,11.766666666666666,39.10869565217392,26.4,0.012,457.3142857142857,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-06 00:00:00+05:30,40.3109,37.7304347826087,26.77777777777778,0.014,419.2380952380952,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-07 00:00:00+05:30,36.57981,36.35217391304348,27.15555555555556,0.016,381.1619047619048,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-08 00:00:00+05:30,32.84872,34.97391304347826,27.53333333333333,0.018,343.0857142857143,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-09 00:00:00+05:30,29.11763,33.595652173913045,27.91111111111111,0.02,305.0095238095238,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-10 00:00:00+05:30,25.38654,32.21739130434783,28.28888888888889,0.022,266.9333333333334,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-11 00:00:00+05:30,21.65545,30.83913043478261,28.666666666666668,0.024,228.8571428571429,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-12 00:00:00+05:30,17.92436,29.46086956521739,29.044444444444444,0.026,190.7809523809524,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-13 00:00:00+05:30,14.193269999999998,28.082608695652173,29.422222222222224,0.028,152.70476190476188,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-14 00:00:00+05:30,10.46218,26.70434782608696,29.8,0.03,114.62857142857138,0.075,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-15 00:00:00+05:30,6.731090000000002,25.32608695652174,30.17777777777778,0.032,76.55238095238099,0.15,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-16 00:00:00+05:30,3.0,23.94782608695652,30.55555555555556,0.034,38.47619047619048,0.2249999999999999,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-17 00:00:00+05:30,8.1,22.569565217391304,30.933333333333337,0.027,0.4,0.3,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-09-18 00:00:00+05:30,12.0,21.191304347826087,31.311111111111117,0.004,28.0,1.9,0.1722556788728149,0.0070212183528934,0.012899,5,Very Unhealthy
2019-09-19 00:00:00+05:30,11.08,19.81304347826087,31.68888888888889,4.603199999999999,55.6,3.5,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-20 00:00:00+05:30,10.16,18.43478260869565,32.06666666666667,9.2024,83.2,5.1,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-21 00:00:00+05:30,9.24,17.056521739130435,32.44444444444444,13.8016,110.8,4.819999999999999,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-22 00:00:00+05:30,8.32,15.678260869565218,32.82222222222222,18.4008,138.4,4.54,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-23 00:00:00+05:30,7.4,14.3,33.2,23.0,166.0,4.26,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-24 00:00:00+05:30,7.181818181818183,7.9,30.986766666666668,20.445666666666668,206.6086956521739,3.98,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-25 00:00:00+05:30,6.963636363636364,1.5,28.773533333333337,17.891333333333332,247.2173913043478,3.7,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-26 00:00:00+05:30,6.745454545454546,2.3461538461538463,26.5603,15.337,287.8260869565217,3.42,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-27 00:00:00+05:30,6.527272727272727,3.1923076923076925,24.34706666666667,12.782666666666666,328.4347826086956,3.14,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-28 00:00:00+05:30,6.3090909090909095,4.038461538461538,22.13383333333333,10.228333333333332,369.0434782608696,2.86,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-29 00:00:00+05:30,6.090909090909091,4.884615384615385,19.9206,7.673999999999999,409.6521739130435,2.58,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-09-30 00:00:00+05:30,5.872727272727273,5.730769230769231,17.707366666666665,5.119666666666664,450.2608695652174,2.3,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-10-01 00:00:00+05:30,5.654545454545454,6.576923076923077,15.494133333333334,2.5653333333333315,490.8695652173913,2.0125,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-10-02 00:00:00+05:30,5.4363636363636365,7.423076923076923,13.2809,0.011,531.4782608695652,1.725,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-10-03 00:00:00+05:30,5.218181818181819,8.26923076923077,11.067666666666668,0.0165,572.0869565217391,1.4375,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-10-04 00:00:00+05:30,5.0,9.115384615384617,8.854433333333333,0.022,612.695652173913,1.15,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-10-05 00:00:00+05:30,4.5,9.961538461538462,6.641199999999998,0.0275,653.304347826087,0.8624999999999998,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-10-06 00:00:00+05:30,4.0,10.807692307692308,4.427966666666666,0.033,693.9130434782609,0.575,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-10-07 00:00:00+05:30,3.5,11.653846153846152,2.2147333333333314,0.0385,734.5217391304348,0.2875000000000001,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-10-08 00:00:00+05:30,3.0,12.5,0.0015,0.044,775.1304347826087,0.0,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-10-09 00:00:00+05:30,4.0,21.375,4.9388125,0.0406153846153846,815.7391304347826,0.9375,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-10-10 00:00:00+05:30,5.0,30.25,9.876125,0.0372307692307692,856.3478260869565,1.875,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-10-11 00:00:00+05:30,6.0,39.125,14.8134375,0.0338461538461538,896.9565217391305,2.8125,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
2019-10-12 00:00:00+05:30,20.8,48.0,19.75075,0.0304615384615384,937.5652173913044,3.75,0.1722556788728149,0.0070212183528934,0.012899,6,Hazardous
